Carimbo de data/hora; VOCÊ ACEITARIA PARTICIPAR DA NOSSA PESQUISA ?;Idade;POSSUI ALGUMA DEFICIÊNCIA?;Reside em Coari?;Se a resposta for não, especificar cidade:;VOCÊ SE AUTODECLARA ; RENDA FAMILIAR MENSAL (A SOMA DE TODAS AS PESSOAS QUE RECEBEM E MORAM COM VOCÊ);QUANTAS PESSOAS, INCLUINDO VOCÊ, VIVEM DA RENDA MENSAL DE SUA FAMILÍA?;NÍVEL DE ESCOLARIDADE;QUAL A NATUREZA DA INSTITUIÇÃO EM QUE VOCÊ CURSOU O ENSINO FUNDAMENTAL E MÉDIO?;VOCÊ TEM INTERESSE EM CURSAR LICENCIATURA EM PEDAGOGIA? POR QUÊ?;SE A RESPOSTA ANTERIOR FOR SIM, QUAL O TURNO;VOCÊ TERIA INTERESSE EM OUTRO CURSO? QUAL?;COMO VOCÊ AVALIA A IMPLEMENTAÇÃO DO CURSO DE LICENCIATURA EM PEDAGOGIA NO ISB?;AS UNIVERSIDADES PARTICULARES OFERTAM CURSO DE PEDAGOGIA, O QUE TE IMPEDIU DE CURSAR?
3/10/2025 17:25:02;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Superior completo;Todas em instituição pública;Sim eu gostaria, já  obtive uma experiência na educação infantil e me identifiquei.;Matutino;Psicologia ;Muito importante;Falta de verba.
3/10/2025 17:33:17;Sim;mais de 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;1 pessoa;Superior incompleto;Todas em instituição pública;Sim, é uma área muito importante e eu me identifico.;Noturno;Meio ambiente.;Muito importante;O valor.
3/10/2025 17:39:49;Sim;entre 31 e 40 anos;Não;Sim;Coari ;Parda;Menos de 02 salários-mínimos;1 pessoa;Médio completo;Todas em instituição pública;E curso que precisa em nossa universidade ;Noturno;Direito ;Muito importante;Investimento 
3/10/2025 17:41:54;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Sim;Noturno;;Muito importante;
3/10/2025 17:43:40;Sim;entre 25 e 30 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;Porque é meu sonho ;Noturno;Enfermagem ;Muito importante;Financeiro 
3/10/2025 17:59:22;Sim;entre 15 e 24 anos;Não;Sim;Sim, seria oportunista demais o curso de licenciatura em Pedagogia;Preta;Menos de 02 salários-mínimos;2 pessoas;Superior incompleto;Todas em instituição pública;Sim, porque a procura pelo curso seria ótimo, ainda mais se for pública ;Noturno;Farmácia ;Muito importante;Financeiro 
3/10/2025 18:20:14;Sim;mais de 40 anos;Não;Sim;;Branca;04 a 06 salários-mínimos;2 pessoas;Superior completo;Parte em instituição pública e parte privada;Porque se faz necessário temos professores formados em pedagogia e não somente a licenciatura ;Noturno;Veterinário;Muito importante;Tempo
3/10/2025 18:30:05;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sim, possuo interesse pois abrir oportunidades para empregos seja na educação infantil ou séries iniciais;Noturno;Direito ;Muito importante;Falta de recursos financeiros 
3/10/2025 19:02:45;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior completo;Todas em instituição pública;Sim, Qualificação profissional, e contribuir sempre com a qualidde de ensino.;Matutino;Não ;Muito importante;Necessidade financeira.
3/10/2025 19:06:21;Sim;entre 15 e 24 anos;Sim;Sim;;Parda;Menos de 02 salários-mínimos;1 pessoa;Médio completo;Todas em instituição pública;Tenho sim, por quer eu eu adoro ensinar e isso é gratificante ;Noturno;Fisioterapia ;Muito importante;Muito caro
